Symbol,n_drugs,n_interactions,drug_names,interaction_types,sources,pooled_log2FC,rem_pvalue,rem_padj,Direction,Gene_Family,is_hub,Priority
COL1A1,7,7,PAMIDRONATE; OCRIPLASMIN; ZOLEDRONIC ACID ANHYDROUS; ETIDRONIC ACID; COLLAGENASE CLOSTRIDIUM HISTOLYTICUM; VALPROIC ACID; SOMATROPIN (RECOMBINANT DNA ORIGIN),; cleavage,PharmGKB; ChEMBL; TEND; TdgClinicalTrial; ChEMBL,2.21993815042777,0.000769484157861106,0.0175634483033176,Up,Other,TRUE,High
ICAM1,6,6,ENLIMOMAB PEGOL; HYALURONIC ACID; ENLIMOMAB; BI-505; LIFITEGRAST; ALICAFORSEN,inhibitor; ,ChEMBL; TdgClinicalTrial; TTD; TdgClinicalTrial; ChEMBL; TTD; TdgClinicalTrial; DTC; TTD; TdgClinicalTrial,1.15522166314321,0.00107343507747013,0.0216066613332032,Up,Other,TRUE,High
SERPINH1,6,6,DL-TBOA; ANTISENSE OLIGONUCLEOTIDES; ASPARTIC ACID; [3H]D-ASPARTIC ACID; THREO-3-METHYLGLUTAMATE; MONOCLONAL ANTIBODY 11D10,inhibitor; ,GuideToPharmacology; NCI,1.28159931996588,0.000984516784478904,0.0203147568408234,Up,Other,TRUE,High
COL4A2,3,3,OCRIPLASMIN; COLLAGENASE CLOSTRIDIUM HISTOLYTICUM; NAVOXIMOD,cleavage; ,ChEMBL; TTD,1.04022487090568,0.000152983726579482,0.00582253135443295,Up,Other,TRUE,High
FCER1G,3,3,ASPIRIN; COMPOUND 66 [PMID: 21802293]; BENZYLPENICILLOYL POLYLYSINE,; inhibitor,PharmGKB; GuideToPharmacology; TEND; TdgClinicalTrial,1.23540782911365,0.00153808786664303,0.0267754040181395,Up,Other,TRUE,High
BGN,2,2,COMPOUND 6N [PMID: 31419141]; RJW100,agonist,GuideToPharmacology,1.74605196492589,0.000505982783395834,0.0133052563653625,Up,Other,TRUE,Medium
COL16A1,2,2,DIPYRIDAMOLE; PF-04957325,inhibitor,GuideToPharmacology,1.22804943310168,0.000144684467134425,0.00562783664460041,Up,Other,TRUE,Medium
COL3A1,2,2,COLLAGENASE CLOSTRIDIUM HISTOLYTICUM; OCRIPLASMIN,cleavage,TEND; TdgClinicalTrial; ChEMBL; ChEMBL,1.77977938041074,0.000548998287613446,0.0141098768297937,Up,Other,TRUE,Medium
COL4A3,2,2,COLLAGENASE CLOSTRIDIUM HISTOLYTICUM; OCRIPLASMIN,cleavage,ChEMBL,-1.02452838063872,0.000476915890073665,0.0127302934482919,Down,Other,TRUE,Medium
COL5A1,2,2,COLLAGENASE CLOSTRIDIUM HISTOLYTICUM; OCRIPLASMIN,cleavage,ChEMBL,1.72433774916383,0.000124676395293025,0.00525211670514461,Up,Other,TRUE,Medium
COL5A2,2,2,OCRIPLASMIN; COLLAGENASE CLOSTRIDIUM HISTOLYTICUM,cleavage,ChEMBL,1.66783148150925,0.000663274688559636,0.0157728505535056,Up,Other,TRUE,Medium
COMP,2,2,BC11-38; TADALAFIL,inhibitor,GuideToPharmacology,2.82966640359254,0.00310260041975115,0.0414070410312045,Up,Other,TRUE,Medium
OASL,2,2,RIBAVIRIN; PEGINTERFERON ALFA-2B,"",PharmGKB,1.96189524063754,0.000286101813885269,0.0091001019358581,Up,Other,TRUE,Medium
THBS2,2,2,BEVACIZUMAB; CORTICOTROPIN,"",NCI,2.09946285639524,0.000871155427762682,0.019037378709171,Up,Other,TRUE,Medium
ISG15,1,1,IRINOTECAN HYDROCHLORIDE,inhibitor,MyCancerGenomeClinicalTrial,1.65026294744614,1.38276077034842e-05,0.0010044904609805,Up,Other,TRUE,Medium
ITGA11,1,1,RECOMBINANT INTERFERON,"",NCI,1.65192417807578,0.00128378999906714,0.023859597073784,Up,Other,TRUE,Medium
LUM,1,1,FAS LIGAND,"",NCI,1.35240935604159,0.00141740210860069,0.0253740423024816,Up,Other,TRUE,Medium
POSTN,1,1,ANTISERUM,"",NCI,2.73718945016131,0.00237038229533275,0.0350659495959725,Up,Other,TRUE,Medium
SPARC,1,1,NAB-PACLITAXEL,"",ClearityFoundationBiomarkers,1.50491886114169,0.000788699631031001,0.0177474150354628,Up,Other,TRUE,Medium
GMNN,480,480,"CALANOLIDE A; HALOPERIDOL DECANOATE; CHEMBL:CHEMBL1569494; CHEMBL:CHEMBL578915; CHEMBL:CHEMBL1446254; GEFITINIB; CHEMBL:CHEMBL2094789; ZOMEPIRAC SODIUM; CHEMBL:CHEMBL578929; TERFENADINE; TANSHINONE I; STROPHANTHIDIN; LIOTHYRONINE SODIUM; DIETHYLSTILBESTROL; CHEMBL:CHEMBL587801; BITHIONOLOXIDE; TEROXIRONE; CHEMBL:CHEMBL1415258; SARPOGRELATE; RESERPINE; DIGOXIN; GW7647; EBSELEN; METHYLDOPA ANHYDROUS; PROCHLORPERAZINE; IMIQUIMOD; CHEMBL:CHEMBL576412; AMIODARONE HYDROCHLORIDE; CHEMBL:CHEMBL607140; CHEMBL:CHEMBL1310701; OLVANIL; ETHYLESTRENOL; CLOFENOXYDE; VINBLASTINE; ETRETINATE; CHEMBL:CHEMBL1437888; NIFURALDEZONE; GLYASPERIN D; METHYL DEOXYCHOLATE; FENDILINE HYDROCHLORIDE; CHEMBL:CHEMBL579420; CHEMBL:CHEMBL584442; ENPIROLINE; FOMOCAINE; CHEMBL:CHEMBL530499; CURCUMIN; CHEMBL:CHEMBL1363249; CHEMBL:CHEMBL585828; CHEMBL:CHEMBL598695; AZELNIDIPINE; CHEMBL:CHEMBL473721; CHEMBL:CHEMBL602127; CHEMBL:CHEMBL602776; BIFONAZOLE; CHEMBL:CHEMBL156959; TYRPHOSTIN AG 879; CHEMBL:CHEMBL410484; EFAROXAN; (2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE; CHEMBL:CHEMBL528492; FELODIPINE; ETHYL NITRITE [SPIRIT]; PRAZOSIN HYDROCHLORIDE; CHEMBL:CHEMBL601358; CHEMBL:CHEMBL601757; SOFALCONE; CHEMBL:CHEMBL606166; CHEMBL:CHEMBL579837; CHEMBL:CHEMBL1498652; CHEMBL:CHEMBL578675; CHEMBL:CHEMBL531451; CHEMBL:CHEMBL1449731; CHEMBL:CHEMBL523200; CHEMBL:CHEMBL285157; VORINOSTAT; CHEMBL:CHEMBL22062; CHEMBL:CHEMBL532849; BERGAPTOL; OXIBENDAZOLE; 2-METHOXY-1,4-NAPHTHOQUINONE; CAPENSIN; LERCANIDIPINE; CHEMBL:CHEMBL534214; PHENAZINE-1-CARBOXYLIC ACID; ISOLIQUIRITIGENIN; TPCK; COLCHICINE; MELITRACEN; LOFEPRAMINE; SALIRASIB; QUINAPRIL HYDROCHLORIDE; CHEMBL:CHEMBL299853; CHEMBL:CHEMBL515617; METITEPINE; FALNIDAMOL; CHEMBL:CHEMBL1271059; CHEMBL:CHEMBL586000; CHEMBL:CHEMBL601146; CHEMBL:CHEMBL605753; PROSULTIAMINE; TOZASERTIB; CHEMBL:CHEMBL235891; FLUNARIZINE; CHEMBL:CHEMBL590184; CHEMBL:CHEMBL528791; FEBANTEL; FLUOROSALAN; CHEMBL:CHEMBL528724; HEXACHLOROPHENE; CHEMBL:CHEMBL548017; CHEMBL:CHEMBL580727; NITROXOLINE; CHEMBL:CHEMBL547285; CALMIDAZOLIUM CHLORIDE; CHEMBL:CHEMBL547245; CHEMBL:CHEMBL1307453; CHEMBL:CHEMBL585656; PENTETIC ACID; SILIBININ; CHEMBL:CHEMBL602363; RIMONABANT; LENPERONE; CHEMBL:CHEMBL604321; CHEMBL:CHEMBL576208; CHEMBL:CHEMBL527585; CHEMBL:CHEMBL581152; KAMEBANIN; DNQX; CHEMBL:CHEMBL17201; CHEMBL:CHEMBL1420370; CHEMBL:CHEMBL525098; CHEMBL:CHEMBL1388908; CHEMBL:CHEMBL601137; CAPTAN; PROTOAPIGENONE; DIHYDROXANTHOHUMOL; EBASTINE; DIPHENOXYLATE HYDROCHLORIDE; CUMINGIANOSIDE A; COLCHICEINE; CHEMBL:CHEMBL374632; 2'-HYDROXYCHALCONE; CHEMBL:CHEMBL1588679; CHEMBL:CHEMBL1388703; CHEMBL:CHEMBL103583; ZAFIRLUKAST; CHEMBL:CHEMBL191611; SPICLOMAZINE; FLUSPIRILENE; AG 490; NIFEDIPINE; CHEMBL:CHEMBL547313; METOCHALCONE; CHEMBL:CHEMBL1990783; CALCIMYCIN; CHEMBL:CHEMBL606532; CHEMBL:CHEMBL1373255; BENZIODARONE; CHEMBL:CHEMBL1465049; DICHLORVOS; CHEMBL:CHEMBL587849; LIDAMIDINE HYDROCHLORIDE; NISOLDIPINE; RESCINNAMINE; GW282974X; CHEMBL:CHEMBL533388; POMIFERIN; CHEMBL:CHEMBL587433; CHEMBL:CHEMBL458094; DIBUCAINE; CHEMBL:CHEMBL1453126; CHEMBL:CHEMBL1445650; CHEMBL:CHEMBL445153; BUFOGENIN; XANTHOANGELOL B; CHEMBL:CHEMBL585444; CHEMBL:CHEMBL482050; CHEMBL:CHEMBL587728; CHEMBL:CHEMBL1376851; ENCLOMIPHENE CITRATE; ROTENONE; CHEMBL:CHEMBL590691; CHEMBL:CHEMBL585654; CLIOXANIDE; VINCRISTINE; CHEMBL:CHEMBL1341830; CHEMBL:CHEMBL580819; (R)-EDELFOSINE; METERGOLINE; CHEMBL:CHEMBL605747; ACETOMENAPHTHONE; CHEMBL:CHEMBL534047; CHEMBL:CHEMBL1479114; ANGUSTIBALIN; CHEMBL:CHEMBL244023; CHEMBL:CHEMBL565893; CHEMBL:CHEMBL532363; AMCINONIDE; CHEMBL:CHEMBL1342336; CHEMBL:CHEMBL1329349; DIGITOXIN; SANTIN; AURIN; VIDARABINE; CHEMBL:CHEMBL590427; CEPHALOCHROMIN; CHEMBL:CHEMBL600694; HELENALIN; LORATADINE; CHEMBL:CHEMBL2095095; HALETHAZOLE; CHEMBL:CHEMBL1509103; ALEXIDINE DIHYDROCHLORIDE; CALCITRIOL; PYRITHIONE; BENZBROMARONE; ASTEMIZOLE; (3Z)-N,N-DIMETHYL-2-OXO-3-(4,5,6,7-TETRAHYDRO-1H-INDOL-2-YLMETHYLIDENE)-2,3-DIHYDRO-1H-INDOLE-5-SULFONAMIDE; RALOXIFENE HYDROCHLORIDE; CHEMBL:CHEMBL486706; CHEMBL:CHEMBL602969; CLOTRIMAZOLE; CLANFENUR; CHEMBL:CHEMBL534535; AZACITIDINE; CHEMBL:CHEMBL585827; CHEMBL:CHEMBL548615; CARPHENAZINE; CHEMBL:CHEMBL1519374; CYCLOVALONE; PROROXAN; OCTRIZOLE; CHEMBL:CHEMBL596631; TESMILIFENE; CHEMBL:CHEMBL590665; DESOGESTREL; CHEMBL:CHEMBL1402376; CHEMBL:CHEMBL1306524; CHEMBL:CHEMBL527336; FLUPHENAZINE HYDROCHLORIDE; PHENAMIL METHANESULFONATE; CHEMBL:CHEMBL601768; FLAZALONE; ACITRETIN; OCTYLONIUM; VANOXERINE; RITANSERIN; CHEMBL:CHEMBL2094833; MICONAZOLE NITRATE; CHOLECALCIFEROL; WIN 62,577; PODOFILOX; DIENESTROL; AMSACRINE HYDROCHLORIDE; CHEMBL:CHEMBL590186; GR 127935; FLUNARIZINE HYDROCHLORIDE; CHEMBL:CHEMBL589694; CHEMBL:CHEMBL593211; CHEMBL:CHEMBL1374568; CHEMBL:CHEMBL602126; CHEMBL:CHEMBL586029; CHEMBL:CHEMBL1256761; CHEMBL:CHEMBL313154; OUABAIN; CHEMBL:CHEMBL1317506; CHEMBL:CHEMBL277148; CHEMBL:CHEMBL586031; CHEMBL:CHEMBL192626; BIS(DIMETHYLAMINETHIOCARBONYL)MONOSULFIDE; CHEMBL:CHEMBL600692; TYRPHOSTIN B48; OLEIC ACID; CHEMBL:CHEMBL1520346; IDAZOXAN; DIBUCAINE HYDROCHLORIDE; CHEMBL:CHEMBL600313; CHEMBL:CHEMBL2094665; CHEMBL:CHEMBL1366623; MECLOFENAMATE SODIUM; CHEMBL:CHEMBL591126; CAMBENDAZOLE; PERMETHRIN; CHEMBL:CHEMBL606167; TANESPIMYCIN; SORAFENIB; CALCIFEDIOL ANHYDROUS; WOGONIN; CHEMBL:CHEMBL1362503; THUNBERGINOL A; CHEMBL:CHEMBL1572415; NOCODAZOLE; CHEMBL:CHEMBL1567571; CHEMBL:CHEMBL1079460; CILNIDIPINE; VINCRISTINE SULFATE; CHEMBL:CHEMBL329673; CORONOPILIN; MERADIMATE; GEDUNIN; FLUNARIZINE DIHYDROCHLORIDE; CHEMBL:CHEMBL1510164; NORARMEPAVINE; MECLIZINE DIHCL; CHEMBL:CHEMBL585462; CHEMBL:CHEMBL1224755; DIACYLGLYCEROL KINASE INHIBITOR II; CHEMBL:CHEMBL532160; CHEMBL:CHEMBL534244; CHEMBL:CHEMBL1994034; CHEMBL:CHEMBL585795; CHEMBL:CHEMBL101815; E319; CHEMBL:CHEMBL503990; CHEMBL:CHEMBL1504679; ESTRADIOL 3-BENZOATE; CHEMBL:CHEMBL462430; CHEMBL:CHEMBL533226; PARBENDAZOLE; DULOXETINE HYDROCHLORIDE; CHEMBL:CHEMBL530049; CHEMBL:CHEMBL344127; HALOPROGIN; GERONTOXANTHONE I; CHEMBL:CHEMBL1688556; CHEMBL:CHEMBL600315; PIPERLONGUMINE; CHEMBL:CHEMBL531269; OXOPURPUREINE; DIMERCAPROL; APOMORPHINE HYDROCHLORIDE HEMIHYDRATE; CHEMBL:CHEMBL538798; DIMETHYL SUCCINATE; TOREMIFENE; LANATOSIDE C; DIPYRIDAMOLE; CHEMBL:CHEMBL1496351; CHEMBL:CHEMBL533954; CHEMBL:CHEMBL1546223; CHEMBL:CHEMBL1549738; TAMOXIFEN; CHEMBL:CHEMBL599924; CINACALCET; 3,4-DICHLOROISOCOUMARIN; CHEMBL:CHEMBL591370; EPOXYCYTOCHALASIN H; DECITABINE; MICHLER'S KETONE; CHEMBL:CHEMBL536008; CHEMBL:CHEMBL581880; AROTINOID ACID; CHEMBL:CHEMBL1333386; ANTAZOLINE HYDROCHLORIDE; DASATINIB ANHYDROUS; ALBENDAZOLE; CHEMBL:CHEMBL312032; PD-169316; CHEMBL:CHEMBL578928; CHEMBL:CHEMBL1255936; CHEMBL:CHEMBL580955; ETHACRYNIC ACID; CRIDANIMOD; N-ETHYLMALEIMIDE; ACRIDONE; 2-HYDROXYESTRADIOL; DYCLONINE; DISULFIRAM; CHEMBL:CHEMBL582503; ELLIPTECINE; CHEMBL:CHEMBL429095; CHEMBL:CHEMBL1939691; QUINESTROL; CHEMBL:CHEMBL1537417; CHEMBL:CHEMBL598679; TYRPHOSTIN A9; MASOPROCOL; ISOVELLERAL; BREFELDIN A; DICHLOROPHEN; CHEMBL:CHEMBL601351; CHEMBL:CHEMBL582276; TAMOXIFEN CITRATE; GITOXIN; HEXESTROL; PENTACHLOROPHENOL; BENZO[DEF]CHRYSENE; DYCLONINE HYDROCHLORIDE; FENBENDAZOLE; CHEMBL:CHEMBL578502; DIPHENADIONE; PIMETHIXENE MALEATE; CHEMBL:CHEMBL273103; EMETINE HYDROCHLORIDE; AKT INHIBITOR IV; TRIFLUPROMAZINE HYDROCHLORIDE; CLOFOCTOL; PIROCTONE; CHEMBL:CHEMBL1364172; AMINACRINE HYDROCHLORIDE; CRYPTOTANSHINONE; CHEMBL:CHEMBL2002849; KENPAULLONE; CHLORQUINALDOL; IDAZOXAN HYDROCHLORIDE; THIRAM; DIHYDROERGOCRISTINE MESYLATE; DEFEROXAMINE; MITONAFIDE; ISOCONAZOLE; BROQUINALDOL; CHEMBL:CHEMBL1530911; SB202190; NICLOSAMIDE; BROMOCICLEN; CHEMBL:CHEMBL528694; 2-METHOXYESTRADIOL; CHEMBL:CHEMBL1170485; CHLORACYZINE; CHEMBL:CHEMBL546475; GROSHEIMIN; CHEMBL:CHEMBL596633; SULBENTINE; GLYCYROL; DIBROMOTYROSINE; CHEMBL:CHEMBL527584; THIMEROSAL; PERPHENAZINE; CHEMBL:CHEMBL1503729; DIPHYLLIN; CHEMBL:CHEMBL602990; TRIPARANOL; CLOXYQUIN; CAPSAZEPINE; CHEMBL:CHEMBL592068; GITOXIGENIN; VANDETANIB; PYRITHIONE ZINC; TRIFLUOPERAZINE HYDROCHLORIDE; PACLITAXEL; AROMATICIN; CHEMBL:CHEMBL601180; TRYPTANTHRIN; DEMETHOXYCURCUMIN; CHEMBL:CHEMBL586937; CHEMBL:CHEMBL585030; CHEMBL:CHEMBL578512; LOMERIZINE; THIOTEPA; ETOPOSIDE; BAY-11-7085; BROMHEXINE HYDROCHLORIDE; LYCOPENE; SCOPOLETIN; CHEMBL:CHEMBL1998001; CHEMBL:CHEMBL592124; VINBURNINE; CHLOROXINE; CHEMBL:CHEMBL1490332; CHEMBL:CHEMBL589715; DEMECOLCINE; CHEMBL:CHEMBL530788; CHEMBL:CHEMBL581677; CHEMBL:CHEMBL1565444; PAXILLINE; CHEMBL:CHEMBL592600; CHEMBL:CHEMBL461193; FEPRAZONE; CHEMBL:CHEMBL598885; CGP74514A; 5-FLUOROURIDINE; EUPAROTIN ACETATE; MEBENDAZOLE; CHEMBL:CHEMBL1415851; 2,3,4,4'-TETRAMETHOXYBIPHENYL; CHEMBL:CHEMBL533082; 5-HYDROXYINDOLE; DOXAZOSIN MESYLATE; FANGCHINOLINE; PIRIQUALONE; TRICLABENDAZOLE","",DTC,-1.55585545380916,9.67918389184189e-06,0.000787274925055589,Down,Other,FALSE,Medium
